Crash Record Number,County Code,County Name,Municipality Code,Municipality Name,District Code,District Name,Police Agency Code,Police Agency Name,Crash Year,Crash Month,Time of Day,Hour of Day,Illumination,Road Condition,Collision Type,Urban / Rural,Fatality Count,Injury Count,Person Count,Total Unit Count,Latitude,Longitude,Vehicle Count,Suspected Serious Injury Count,Suspected Minor Injury Count,Possible Injury Count,Total Injury Count,16 Year Old Driver Count,17 Year Old Driver Count,18 Year Old Driver Count,19 Year Old Driver Count,20 Year Old Driver Count,50-64 Year Old Driver Count,65-74 Year Old Driver Count,75 Plus Year Old Driver Count,Unbelted Occupant Count,Latitude (Decimal),Longitude (Decimal),Interstate,State Road,Local Road Only,Turnpike,Injury,Fatal,Alcohol Related,Drinking Driver,Underage Drinking Driver,Unlicensed,Distracted,Cell Phone,No Clearance,Running Red Light,Tailgating,Speeding,Speeding Related,Aggressive Driving,Fatigue / Asleep,Unbelted,NHTSA Aggressive Driving,Running Stop Sign,Hit Parked Vehicle,Suspected Serious Injury,Suspected Minor Injury,Drug Related,Illegal Drug Related,Drugged Driver,Impaired Driver,Geographic Location of the Crash
2000133250,66,York,66418,Manchester Boro,08,District 8-0,66502,NORTHEASTERN REGIONAL,2000,11,1342,13,Daylight,Dry,Angle,Urban,0,1,4,2,40 03:34.200,76 43:15.240,2,0,0,0,0,0,0,0,1,0,0,0,1,1,40.0595,-76.7209,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"(40.0595, -76.7209)"
2005410771,40,Luzerne,40304,Wilkes,04,District 4-0,40304,WILKES BARRE CITY,2005,10,1520,15,Daylight,Dry,Angle,Urban,0,0,3,3,41 13:41.000,75 53:32.843,3,0,0,0,0,0,0,0,0,0,1,0,0,1,41.2283,-75.8925,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"(41.2283, -75.8925)"
2017109915,67,Philadelphia,67301,Philadelphia City,06,District 6-0,67301,PHILADELPHIA CITY,2017,10,1655,16,Daylight,Dry,Angle,Urban,0,0,3,2,39 54:37.249,75 09:03.077,2,0,0,0,0,0,0,0,0,0,0,0,0,1,39.9103,-75.1509,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,"(39.9103, -75.1509)"
2007089970,42,Mckean,42209,Keating Twp,02,District 2-0,68C05,PSP - Kane,2007,7,1740,17,Daylight,Dry,Sideswipe (same dir.),Rural,0,2,3,2,41 52:36.000,78 29:10.105,2,0,0,2,2,0,1,0,0,0,1,0,0,2,41.8768,-78.4861,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"(41.8768, -78.4861)"
1998062376,40,Luzerne,40101,Hanover Twp,04,District 4-0,40101,HANOVER TWP,1998,2,1010,10,Daylight,Dry,Other or Unknown,Urban,0,1,1,2,,,2,0,0,1,1,0,0,0,0,0,0,0,0,1,,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,
2007116870,09,Bucks,09204,Buckingham Twp,06,District 6-0,09204,BUCKINGHAM TWP,2007,11,1227,12,Daylight,Wet,Angle,Rural,0,4,4,2,40 16:57.000,75 04:07.989,2,0,2,2,4,0,0,0,0,1,1,0,0,3,40.2827,-75.0689,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,"(40.2827, -75.0689)"
1997060433,02,Allegheny,02301,Pittsburgh City,11,District 11-0,02301,PITTSBURGH CITY,1997,6,1010,10,Daylight,Dry,Angle,Urban,0,1,3,2,,,2,0,0,1,1,0,0,0,0,0,0,0,1,3,,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
2012011938,62,Washington,62226,South Franklin Twp,12,District 12-0,68B01,PSP - Washington,2012,1,1100,11,Daylight,Ice Patches,Angle,Rural,0,1,7,2,40 05:25.386,80 19:40.110,2,0,0,1,1,0,0,0,0,0,1,0,0,1,40.0904,-80.3278,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"(40.0904, -80.3278)"
2000066907,25,Erie,25202,Concord Twp,01,District 1-0,68E02,PSP - Corry,2000,6,1745,17,Daylight,Dry,Hit fixed object,Rural,0,2,2,1,41 52:40.080,79 41:40.920,1,0,0,2,2,0,1,0,0,0,0,0,0,2,41.8778,-79.6947,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,"(41.8778, -79.6947)"
2012026293,23,Delaware,23103,Haverford Twp,06,District 6-0,23103,HAVERFORD TWP,2012,3,2310,23,Dark street lights,Dry,Hit fixed object,Urban,0,0,1,1,39 57:31.597,75 19:50.746,1,0,0,0,0,0,0,0,0,0,0,0,0,1,39.9588,-75.3308,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,"(39.9588, -75.3308)"
2011073588,62,Washington,62202,Blaine Twp,12,District 12-0,68B01,PSP - Washington,2011,6,0220,2,Dark no street lights,Dry,Non collision,Rural,1,1,3,1,40 09:37.514,80 22:31.610,1,1,0,0,1,0,0,0,1,0,0,0,0,3,40.1604,-80.3754,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,"(40.1604, -80.3754)"
2006027558,66,York,66209,Fawn Twp,08,District 8-0,68H07,PSP - York,2006,1,0749,7,Dawn,Ice Patches,Hit fixed object,Rural,0,1,4,1,39 47:09.000,76 25:49.639,1,0,0,1,1,0,0,0,0,0,0,0,0,4,39.7885,-76.4263,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,"(39.7885, -76.4263)"
2008080679,67,Philadelphia,67301,Philadelphia City,06,District 6-0,67301,PHILADELPHIA CITY,2008,5,0200,2,Dark street lights,Wet,Sideswipe (same dir.),Urban,0,0,2,2,,,2,0,0,0,0,0,0,0,0,0,0,0,0,2,,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
1997097234,45,Monroe,45402,East Stroudsburg Boro,05,District 5-0,68N06,PSP - Swiftwater,1997,7,1608,16,Daylight,Dry,Angle,Urbanized,0,4,6,2,40 59:20.040,75 10:42.600,2,1,0,3,4,0,1,0,0,0,0,0,0,2,40.9889,-75.1785,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,"(40.9889, -75.1785)"
2005141302,39,Lehigh,39102,Whitehall Twp,05,District 5-0,39102,WHITEHALL TWP,2005,6,1320,13,Daylight,Dry,Angle,Urban,0,2,3,2,40 40:51.240,75 31:08.040,2,0,0,0,2,0,0,0,1,0,1,0,0,2,40.6811,-75.519,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,"(40.6811, -75.519)"
2009093481,67,Philadelphia,67301,Philadelphia City,06,District 6-0,67301,PHILADELPHIA CITY,2009,8,0849,8,Daylight,Dry,Rear-end,Urban,0,2,3,3,39 56:59.727,75 12:12.925,3,0,0,2,2,0,0,0,0,0,1,0,0,3,39.9499,-75.2036,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"(39.9499, -75.2036)"
2001241349,02,Allegheny,02301,Pittsburgh City,11,District 11-0,02301,PITTSBURGH CITY,2001,5,1840,18,Daylight,Dry,Angle,Urban,0,1,5,2,40 29:16.440,79 55:12.360,2,0,0,1,1,0,0,0,0,0,0,0,0,5,40.4879,-79.9205,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"(40.4879, -79.9205)"
2014029524,41,Lycoming,41212,Franklin Twp,03,District 3-0,68F01,PSP - Montoursville,2014,3,2226,22,Dark no street lights,Dry,Non collision,Rural,0,1,1,1,41 14:16.550,76 37:49.140,1,0,1,0,1,0,0,0,0,0,1,0,0,1,41.2379,-76.6303,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,"(41.2379, -76.6303)"
2006105446,08,Bradford,08224,Springfield Twp,03,District 3-0,68P05,PSP - Towanda,2006,9,0100,1,Dark no street lights,Wet,Hit fixed object,Rural,0,0,1,1,41 49:28.000,76 44:38.586,1,0,0,0,0,0,0,0,0,0,0,0,0,1,41.8244,-76.7441,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,"(41.8244, -76.7441)"
2011121502,40,Luzerne,40101,Hanover Twp,04,District 4-0,40101,HANOVER TWP,2011,11,1620,16,Daylight,Dry,Angle,Urban,1,0,2,2,41 13:29.899,75 56:08.261,2,0,0,0,0,1,0,0,0,0,0,0,1,1,41.225,-75.9354,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,"(41.225, -75.9354)"
2005146340,64,Westmoreland,64209,Hempfield Twp,12,District 12-0,68A01,PSP - Greensburg,2005,5,2328,23,Dark no street lights,Dry,Hit fixed object,Urban,0,1,1,1,40 15:06.805,79 38:33.310,1,0,1,0,1,0,0,0,0,0,0,0,0,1,40.2519,-79.6426,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,"(40.2519, -79.6426)"
2008090177,46,Montgomery,46105,Lower Moreland Twp,06,District 6-0,46105,LOWER MORELAND TWP,2008,7,0510,5,Dark no street lights,Dry,Hit fixed object,Urban,0,1,1,1,40 08:45.600,75 03:36.720,1,0,0,1,1,0,0,0,0,0,1,0,0,1,40.146,-75.0602,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,"(40.146, -75.0602)"
1999125896,14,Centre,14221,Spring Twp,02,District 2-0,68G07,PSP - Rockview,1999,10,0525,5,Daylight,Dry,Rear-end,Rural,0,3,3,2,40 51:43.920,77 43:58.440,2,0,1,2,3,0,0,0,0,1,0,0,0,2,40.8623,-77.7327,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,"(40.8623, -77.7327)"
2005121835,36,Lancaster,36101,Manheim Twp,08,District 8-0,36101,MANHEIM TWP,2002,8,0216,2,Dark street lights,Dry,Hit fixed object,Urban,0,0,1,1,40 03:31.132,76 17:45.733,1,0,0,0,0,0,0,0,0,0,0,0,0,1,40.0586,-76.296,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,"(40.0586, -76.296)"
1998135210,22,Dauphin,22204,Halifax Twp,08,District 8-0,68H04,PSP - Elizabethville (Lykens),1998,11,1812,18,Dark no street lights,Dry,Hit fixed object,Rural,0,2,2,1,40 29:45.240,76 53:20.760,1,1,0,1,2,0,0,0,0,0,0,0,0,1,40.4959,-76.8891,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,"(40.4959, -76.8891)"
1997113569,39,Lehigh,39301,Allentown City,05,District 5-0,39301,ALLENTOWN CITY,1997,10,1151,11,Daylight,Dry,Angle,Urban,0,4,4,2,,,2,0,1,3,4,0,0,0,0,0,0,0,0,1,,,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,
1997071855,49,Northumberland,49215,Shamokin Twp,03,District 3-0,68F08,PSP - Stonington,1997,7,0320,3,Dark no street lights,Dry,Hit fixed object,Rural,0,2,2,1,40 50:30.840,76 35:05.640,1,0,1,1,2,0,0,0,0,0,0,0,0,2,40.8419,-76.585,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,"(40.8419, -76.585)"
1999058002,01,Adams,01219,Straban Twp,08,District 8-0,68H06,PSP - Gettysburg,1999,5,0655,6,Daylight,Dry,Rear-end,Urbanized,0,0,2,2,39 50:47.760,77 11:43.440,2,0,0,0,0,0,0,0,0,0,1,0,0,1,39.8464,-77.1954,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"(39.8464, -77.1954)"
1999009687,66,York,66231,West Manchester Twp,08,District 8-0,66231,WEST MANCHESTER TWP,1999,1,1628,16,Daylight,Dry,Rear-end,Rural,0,2,4,3,39 56:02.040,76 48:19.800,3,0,0,2,2,0,1,0,0,0,1,0,0,3,39.9339,-76.8054,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"(39.9339, -76.8054)"
2000003888,25,Erie,25302,Erie City,01,District 1-0,25302,ERIE CITY,2000,1,1945,19,Dark street lights,Wet,Angle,Urban,0,1,3,2,,,2,0,0,1,1,0,0,0,0,0,0,0,0,3,,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
2013125338,25,Erie,25206,Franklin Twp,01,District 1-0,68E04,PSP - Girard,2013,12,0330,3,Dark no street lights,Ice,Hit fixed object,Rural,0,1,2,1,41 57:24.810,80 14:03.430,1,0,0,1,1,0,0,0,0,1,0,0,0,1,41.9569,-80.2343,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"(41.9569, -80.2343)"
2012081983,35,Lackawanna,35302,Scranton City,04,District 4-0,35302,SCRANTON CITY,2012,8,1408,14,Daylight,Dry,Angle,Urban,0,2,6,5,41 23:32.946,75 40:21.159,5,0,0,2,2,0,0,0,0,0,1,1,0,3,41.3925,-75.6726,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,"(41.3925, -75.6726)"
1998073590,02,Allegheny,02301,Pittsburgh City,11,District 11-0,02301,PITTSBURGH CITY,1998,7,2135,21,Dark street lights,Dry,Angle,Urban,0,1,2,2,,,2,0,0,0,0,0,0,0,1,0,0,0,0,1,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
1999099023,64,Westmoreland,64102,Penn Twp,12,District 12-0,64102,PENN TWP,1999,9,1422,14,Daylight,Dry,Rear-end,Urban,0,1,7,2,40 21:56.520,79 40:45.120,2,0,0,0,0,0,0,0,0,0,0,0,0,3,40.3657,-79.6792,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"(40.3657, -79.6792)"
2013098973,46,Montgomery,46420,Schwenksville Boro,06,District 6-0,68K03,PSP - Skippack,2013,9,1955,19,Dark no street lights,Dry,Angle,Urban,0,1,2,2,40 15:38.364,75 27:53.102,2,0,1,0,1,0,0,0,0,0,0,0,0,1,40.2604,-75.4648,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,"(40.2604, -75.4648)"
2017091868,67,Philadelphia,67301,Philadelphia City,06,District 6-0,67301,PHILADELPHIA CITY,2017,8,1128,11,Daylight,Wet,Angle,Urban,0,0,2,2,39 56:27.475,75 10:40.355,2,0,0,0,0,0,0,0,0,0,0,0,1,2,39.941,-75.1779,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"(39.941, -75.1779)"
2009129537,13,Carbon,13206,Lehigh Twp,05,District 5-0,68N01,PSP - Hazleton,2009,12,0815,8,Daylight,Dry,Angle,Rural,0,1,3,2,40 58:23.188,75 45:56.134,2,0,0,0,1,0,1,0,0,0,1,0,0,2,40.9731,-75.7656,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"(40.9731, -75.7656)"
2008068714,38,Lebanon,38208,North Cornwall Twp,08,District 8-0,38208,NORTH CORNWALL TWP,2008,6,1519,15,Daylight,Dry,Angle,Rural,0,1,2,2,40 18:38.648,76 25:05.679,2,0,0,1,1,0,0,0,1,0,0,0,0,1,40.3198,-76.4185,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"(40.3198, -76.4185)"
2006128326,02,Allegheny,02212,Marshall Twp,11,District 11-0,02505,NORTHERN ALLEGHENY REGIONAL,2006,12,1200,12,Daylight,Dry,Hit fixed object,Urban,0,1,1,1,40 39:56.500,80 07:22.600,1,1,0,0,1,0,0,0,0,0,0,0,0,1,40.6657,-80.1229,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,1,1,"(40.6657, -80.1229)"
1999056114,32,Indiana,32223,White Twp,10,District 10-0,68A03,PSP - Indiana,1999,3,1500,15,Daylight,Dry,Rear-end,Rural,0,1,4,2,40 36:20.160,79 11:00.240,2,0,0,1,1,0,0,0,1,0,0,0,0,2,40.6056,-79.1835,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"(40.6056, -79.1835)"
