Crash Record Number,County Code,County Name,Municipality Code,Municipality Name,District Code,District Name,Police Agency Code,Police Agency Name,Crash Year,Crash Month,Time of Day,Hour of Day,Illumination,Road Condition,Collision Type,Urban / Rural,Fatality Count,Injury Count,Person Count,Total Unit Count,Latitude,Longitude,Vehicle Count,Suspected Serious Injury Count,Suspected Minor Injury Count,Possible Injury Count,Total Injury Count,16 Year Old Driver Count,17 Year Old Driver Count,18 Year Old Driver Count,19 Year Old Driver Count,20 Year Old Driver Count,50-64 Year Old Driver Count,65-74 Year Old Driver Count,75 Plus Year Old Driver Count,Unbelted Occupant Count,Latitude (Decimal),Longitude (Decimal),Interstate,State Road,Local Road Only,Turnpike,Injury,Fatal,Alcohol Related,Drinking Driver,Underage Drinking Driver,Unlicensed,Distracted,Cell Phone,No Clearance,Running Red Light,Tailgating,Speeding,Speeding Related,Aggressive Driving,Fatigue / Asleep,Unbelted,NHTSA Aggressive Driving,Running Stop Sign,Hit Parked Vehicle,Suspected Serious Injury,Suspected Minor Injury,Drug Related,Illegal Drug Related,Drugged Driver,Impaired Driver,Geographic Location of the Crash
2017028556,36,Lancaster,36228,Pequea Twp,08,District 8-0,36503,SOUTHERN REGIONAL,2017,3,1444,14,Daylight,Dry,Hit fixed object,Rural,0,0,1,1,39 57:10.886,76 18:02.571,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39.953,-76.3007,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,1,0,0,0,"(39.953, -76.3007)"
1998041214,02,Allegheny,02478,Wilkinsburg Boro,11,District 11-0,02478,WILKINSBURG BORO,1998,4,1849,18,Daylight,Dry,Angle,Urban,0,1,2,2,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,1,0,0,0,0,
2013121499,67,Philadelphia,67301,Philadelphia City,06,District 6-0,67301,PHILADELPHIA CITY,2013,10,1901,19,Dark street lights,Dry,Angle,Urban,0,0,5,2,40 01:16.438,75 04:26.057,2,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0212,-75.0739,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,"(40.0212, -75.0739)"
2011114568,51,Pike,51203,Dingman Twp,04,District 4-0,68R04,PSP - Blooming Grove,2011,11,0715,7,Daylight,Dry,Angle,Rural,0,2,3,2,41 20:21.679,74 50:19.131,2,0,2,0,2,0,0,0,0,0,1,0,0,0,41.3393,-74.8388,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,No,0,0,0,0,1,0,0,0,0,"(41.3393, -74.8388)"
2005096807,46,Montgomery,46204,Horsham Twp,06,District 6-0,46204,HORSHAM TWP,2004,1,0809,8,Daylight,Dry,Head-on,Urban,0,1,2,2,40 09:36.288,75 08:53.875,2,0,0,0,1,0,0,0,0,0,0,0,0,0,40.16,-75.1484,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,"(40.16, -75.1484)"
1998143214,51,Pike,51206,Lehman Twp,04,District 4-0,68R04,PSP - Blooming Grove,1998,12,2030,20,Dark no street lights,Snow covered,Hit fixed object,Rural,0,1,1,1,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,1,0,0,0,0,
2002233853,16,Clarion,16407,New Bethlehem Boro,10,District 10-0,16407,NEW BETHLEHEM BORO,2002,11,1545,15,Daylight,Wet,Head-on,Rural,0,4,4,2,41 00:07.920,79 19:37.200,2,0,3,1,4,0,0,0,0,0,1,0,0,0,41.0022,-79.3271,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,1,0,0,0,0,"(41.0022, -79.3271)"
2009042055,46,Montgomery,46208,Lower Providence Twp,06,District 6-0,46208,LOWER PROVIDENCE TWP,2009,4,0923,9,Daylight,Dry,Rear-end,Urban,0,0,2,2,40 06:49.320,75 27:52.972,2,0,0,0,0,0,0,0,0,0,0,1,0,0,40.1137,-75.4641,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,No,0,0,0,0,0,0,0,0,0,"(40.1137, -75.4641)"
2009130426,09,Bucks,09208,Falls Twp,06,District 6-0,09208,FALLS TWP,2009,12,1744,17,Dusk,Ice Patches,Angle,Urban,0,0,2,2,40 10:48.207,74 52:12.669,2,0,0,0,0,0,0,0,0,0,1,0,0,0,40.18,-74.8702,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,No,0,0,0,0,0,0,0,0,0,"(40.18, -74.8702)"
2012041269,25,Erie,25302,Erie City,01,District 1-0,25302,ERIE CITY,2012,4,0304,3,Dark street lights,Dry,Non collision,Urban,0,0,1,1,42 07:36.465,80 04:01.408,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42.1268,-80.0671,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,"(42.1268, -80.0671)"
